text,label,template
আজ সকাল থেকে বুকে ব্যথা করছে,RED,bn:{t}বুকে ব্যথা করছে
"Hi, can you send me a copy of my prescription?",GREEN,en:can you send me a copy of my prescription?
I'm not urinating as much as I used to over the past week,YELLOW,en:I'm not urinating as much as I used to {t}
ওষুধ কি খাবারের আগে না পরে খাব?,GREEN,bn:ওষুধ কি খাবারের আগে না পরে খাব?
"Since my kidney stone, this is the worst headache I've ever had over the past week",RED,en:this is the worst headache I've ever had {t}
"Hello, can I reschedule my lab test to the morning?",GREEN,en:can I reschedule my lab test to the morning?
I have CKD and I fainted over the past week,RED,en:I fainted {t}
My doctor said I have reduced kidney function and I've been throwing up nonstop and can't keep any water down for the last two days,RED,en:I've been throwing up nonstop and can't keep any water down {t}
"As a kidney patient, my urination has decreased this morning",YELLOW,en:my urination has decreased {t}
My doctor said I have reduced kidney function and I'm peeing much less than before since last night,YELLOW,en:I'm peeing much less than before {t}
"Since my kidney stone, there's a metallic taste in my mouth this morning",YELLOW,en:there's a metallic taste in my mouth {t}
I have severe abdominal pain that won't go away since yesterday,RED,en:I have severe abdominal pain that won't go away {t}
কয়েকদিন ধরে খেতে ইচ্ছে করছে না,YELLOW,bn:{t}খেতে ইচ্ছে করছে না
"Since my kidney stone, my legs are hugely swollen and now it's hard to lie flat over the past week",RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
I have CKD and I've been peeing blood over the past week,RED,en:I've been peeing blood {t}
"কিডনি রোগী হিসেবে বলছি, দুই দিন ধরে খুব ক্লান্ত লাগছে",YELLOW,bn:{t}খুব ক্লান্ত লাগছে
I had a kidney transplant last year and this is the worst headache I've ever had for a few days now,RED,en:this is the worst headache I've ever had {t}
"Hi, is it fine to have yogurt on my diet?",GREEN,en:is it fine to have yogurt on my diet?
"আমার কিডনি রোগ আছে, কয়েকদিন ধরে সারা শরীর চুলকাচ্ছে",YELLOW,bn:{t}সারা শরীর চুলকাচ্ছে
"Since my kidney stone, I've been peeing blood since yesterday",RED,en:I've been peeing blood {t}
I have stage 3 kidney disease and my whole body is swelling and I feel like I'm drowning when I lie down,RED,en:my whole body is swelling and I feel like I'm drowning when I lie down
I have stage 3 kidney disease and I've been sleeping badly and feel restless over the past week,YELLOW,en:I've been sleeping badly and feel restless {t}
I have CKD and I have heavy bleeding that won't stop since last night,RED,en:I have heavy bleeding that won't stop {t}
I have stage 3 kidney disease and I've been urinating less than usual for the last two days,YELLOW,en:I've been urinating less than usual {t}
I have stage 3 kidney disease and I've been short of breath this morning,RED,en:I've been short of breath {t}
"Since my kidney stone, I feel dizzy when I stand up this morning",YELLOW,en:I feel dizzy when I stand up {t}
"দয়া করে জানাবেন, ভাত কতটুকু খাওয়া যাবে?",GREEN,bn:ভাত কতটুকু খাওয়া যাবে?
"আসসালামু আলাইকুম, ওষুধ কি খাবারের আগে না পরে খাব?",GREEN,bn:ওষুধ কি খাবারের আগে না পরে খাব?
"As a kidney patient, I have mild abdominal discomfort this morning",YELLOW,en:I have mild abdominal discomfort {t}
I had a kidney transplant last year and I have crushing pain spreading to my arm and jaw,RED,en:I have crushing pain spreading to my arm and jaw
I'm on dialysis and I have heavy bleeding that won't stop for a few days now,RED,en:I have heavy bleeding that won't stop {t}
"Hello, can I eat tomatoes with my condition?",GREEN,en:can I eat tomatoes with my condition?
I have stage 3 kidney disease and my urine has turned dark like cola and I feel terrible since yesterday,RED,en:my urine has turned dark like cola and I feel terrible {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কয়েকদিন ধরে কিডনির জায়গায় হালকা ব্যথা",YELLOW,bn:{t}কিডনির জায়গায় হালকা ব্যথা
"Since my kidney stone, I've been short of breath since yesterday",RED,en:I've been short of breath {t}
"দয়া করে জানাবেন, দিনে কতটুকু লবণ খাওয়া নিরাপদ?",GREEN,bn:দিনে কতটুকু লবণ খাওয়া নিরাপদ?
"দয়া করে জানাবেন, দিনে কতটুকু পানি খাব?",GREEN,bn:দিনে কতটুকু পানি খাব?
ওষুধ খাওয়ার নিয়ম কী?,GREEN,bn:ওষুধ খাওয়ার নিয়ম কী?
I have CKD and I've been really itchy all over this morning,YELLOW,en:I've been really itchy all over {t}
I had a kidney transplant last year and I feel nauseous and have lost my appetite since this afternoon,YELLOW,en:I feel nauseous and have lost my appetite {t}
I had a kidney transplant last year and I can't breathe properly since yesterday,RED,en:I can't breathe properly {t}
"Since my kidney stone, I have some discomfort around my kidneys for the last two days",YELLOW,en:I have some discomfort around my kidneys {t}
"Since my kidney stone, my urination has decreased since this afternoon",YELLOW,en:my urination has decreased {t}
"দয়া করে জানাবেন, টমেটো খাওয়া যাবে কি?",GREEN,bn:টমেটো খাওয়া যাবে কি?
Can I drink coffee on my dialysis days?,GREEN,en:can I drink coffee on my dialysis days?
I had a kidney transplant last year and my abdominal pain is severe and I also have a high fever for the last two days,RED,en:my abdominal pain is severe and I also have a high fever {t}
"As a kidney patient, I feel severely confused over the past week",RED,en:I feel severely confused {t}
"আমার কিডনি রোগ আছে, আজ সকাল থেকে শ্বাস নিতে খুব কষ্ট হচ্ছে",RED,bn:{t}শ্বাস নিতে খুব কষ্ট হচ্ছে
I'm on dialysis and my legs are hugely swollen and now it's hard to lie flat since this afternoon,RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
