text,label
"As a kidney patient, I feel nauseous and have lost my appetite over the past week",YELLOW
"Since my kidney stone, I'm extremely drowsy and can barely stay awake this morning",RED
I had a kidney transplant last year and I've been vomiting blood this morning,RED
"Hello, what should my daily water intake be?",GREEN
I had a kidney transplant last year and I have flank pain this morning,YELLOW
I have stage 3 kidney disease and I've been short of breath since last night,RED
I'm on dialysis and I think I had a seizure over the past week,RED
I'm on dialysis and I've been peeing blood since this afternoon,RED
"Good morning, is there parking available at the clinic?",GREEN
I'm extremely drowsy and can barely stay awake since last night,RED
My urine has turned dark like cola and I feel terrible for the last two days,RED
Quick question - is it fine to have yogurt on my diet?,GREEN
"As a kidney patient, I can't breathe properly since this afternoon",RED
I'm on dialysis and I have no urine output this morning,RED
"Hi, can I switch to an evening dialysis slot?",GREEN
I have severe pain in my side with a high fever and shaking chills over the past week,RED
"Since my kidney stone, my urine has turned dark like cola and I feel terrible for the last two days",RED
"Since my kidney stone, I fainted this morning",RED
Can I get a medical certificate for work?,GREEN
I'm going to the bathroom less often since yesterday,YELLOW
I'm on dialysis and my urine has turned dark like cola and I feel terrible since last night,RED
"As a kidney patient, I have a dull ache in my kidney area this morning",YELLOW
"Please, what should my daily water intake be?",GREEN
I'm on dialysis and I've been throwing up nonstop and can't keep any water down since yesterday,RED
I have a mild fever over the past week,YELLOW
I had a kidney transplant last year and I'm having chest pain for the last two days,RED
"Good morning, I need to reschedule my appointment next week",GREEN
I'm not urinating as much as I used to over the past week,YELLOW
I've been sleeping badly and feel restless since last night,YELLOW
"As a kidney patient, I feel dizzy when I stand up for a few days now",YELLOW
I had a kidney transplant last year and there's a metallic taste in my mouth since yesterday,YELLOW
"As a kidney patient, I've been peeing blood this morning",RED
"Good morning, how many cups of fluid can I have daily?",GREEN
I have stage 3 kidney disease and I think I had a seizure since yesterday,RED
I have CKD and I've been feeling very tired and weak for the last two days,YELLOW
How much salt is safe for me per day?,GREEN
I'm extremely drowsy and can barely stay awake for the last two days,RED
My doctor said I have reduced kidney function and I'm having chest pain over the past week,RED
"Good morning, is the pharmacy open after 6 pm?",GREEN
I'm on dialysis and I haven't been going to the bathroom as much since last night,YELLOW
"Please, is brown rice okay for my diet?",GREEN
I had a kidney transplant last year and my side hurts near where my kidney is since last night,YELLOW
"Good morning, should I take my phosphate binder before or after meals?",GREEN
"Hi, can you send me a copy of my prescription?",GREEN
I have stage 3 kidney disease and I have no urine output since last night,RED
I'm on dialysis and I have some discomfort around my kidneys over the past week,YELLOW
I have CKD and there's blood when I pee over the past week,RED
Quick question - do I need to fast before my blood test?,GREEN
"As a kidney patient, my legs and ankles have been swelling over the past week",YELLOW
I had a kidney transplant last year and I've been feeling very tired and weak since last night,YELLOW
"Since my kidney stone, I fainted since last night",RED
I have stage 3 kidney disease and I've been short of breath since yesterday,RED
There's a metallic taste in my mouth since this afternoon,YELLOW
I have CKD and my side hurts near where my kidney is over the past week,YELLOW
My doctor said I have reduced kidney function and I fainted since last night,RED
"As a kidney patient, I feel severely confused since last night",RED
I've been sleeping badly and feel restless since this afternoon,YELLOW
I had a kidney transplant last year and my blood pressure has been higher than usual over the past week,YELLOW
"Good morning, can I eat tomatoes with my condition?",GREEN
I have stage 3 kidney disease and I have a mild fever for the last two days,YELLOW
I had a kidney transplant last year and I've been peeing blood over the past week,RED
I had a kidney transplant last year and I have a mild fever this morning,YELLOW
I'm on dialysis and I've been short of breath since last night,RED
I have CKD and I feel severely confused for a few days now,RED
I have stage 3 kidney disease and there's blood when I pee this morning,RED
I have CKD and I think I had a seizure this morning,RED
"Please, can my family member pick up my medication?",GREEN
How do I update my address in your records?,GREEN
My doctor said I have reduced kidney function and I've been throwing up nonstop and can't keep any water down for the last two days,RED
"Please, can I pay my bill online?",GREEN
I'm on dialysis and I've gained a few kilos since this afternoon and feel bloated,YELLOW
I have CKD and my legs are hugely swollen and now it's hard to lie flat for the last two days,RED
"Since my kidney stone, I've been vomiting blood since yesterday",RED
I have stage 3 kidney disease and I have severe pain in my side with a high fever and shaking chills for the last two days,RED
I have stage 3 kidney disease and my side hurts near where my kidney is for a few days now,YELLOW
"As a kidney patient, my legs and ankles have been swelling since this afternoon",YELLOW
"Hi, should I take my phosphate binder before or after meals?",GREEN
"Please, which foods are high in potassium that I should avoid?",GREEN
"Hi, is it okay to have oranges with my potassium levels?",GREEN
My heartbeat feels irregular and I'm very weak and dizzy over the past week,RED
My legs are hugely swollen and now it's hard to lie flat since this afternoon,RED
My doctor said I have reduced kidney function and I'm extremely drowsy and can barely stay awake this morning,RED
My doctor said I have reduced kidney function and I passed out since last night,RED
Quick question - how many cups of fluid can I have daily?,GREEN
I had a kidney transplant last year and my legs are hugely swollen and now it's hard to lie flat since this afternoon,RED
"Since my kidney stone, my blood pressure has been higher than usual for a few days now",YELLOW
"Hi, I need to reschedule my appointment next week",GREEN
I passed out since yesterday,RED
"Since my kidney stone, my back is hurting near my kidneys this morning",YELLOW
"Hello, when is my next follow-up scheduled?",GREEN
I'm on dialysis and I'm going to the bathroom less often since this afternoon,YELLOW
I've had muscle cramps since this afternoon,YELLOW
"Since my kidney stone, I feel severely confused for the last two days",RED
I have stage 3 kidney disease and I have heavy bleeding that won't stop this morning,RED
"Hello, what documents do I need for my next visit?",GREEN
Can I eat bananas on my current diet?,GREEN
I'm on dialysis and is it normal that I'm peeing so little lately?,YELLOW
I have CKD and I've been throwing up nonstop and can't keep any water down this morning,RED
"Hi, when is my next follow-up scheduled?",GREEN
My doctor said I have reduced kidney function and my legs are hugely swollen and now it's hard to lie flat since yesterday,RED
"Since my kidney stone, my legs and ankles have been swelling this morning",YELLOW
"Hello, can I take paracetamol for a mild headache?",GREEN
"Since my kidney stone, I haven't passed any urine this morning",RED
I have stage 3 kidney disease and my face looks puffy this morning,YELLOW
Quick question - how long does a routine checkup usually take?,GREEN
"Hi, how long does a routine checkup usually take?",GREEN
Quick question - can I get a medical certificate for work?,GREEN
I've been vomiting blood this morning,RED
I have stage 3 kidney disease and I've been feeling very tired and weak this morning,YELLOW
My doctor said I have reduced kidney function and I'm going to the bathroom less often since last night,YELLOW
"Hi, can I get a medical certificate for work?",GREEN
"Hi, can I drink coffee on my dialysis days?",GREEN
I'm on dialysis and I'm going to the bathroom less often since last night,YELLOW
"Good morning, do I need to fast before my blood test?",GREEN
"As a kidney patient, I have a mild fever for the last two days",YELLOW
"Hi, can I eat tomatoes with my condition?",GREEN
"Good morning, does the clinic open on weekends?",GREEN
My doctor said I have reduced kidney function and my back is hurting near my kidneys for a few days now,YELLOW
"Hi, how do I update my address in your records?",GREEN
I have stage 3 kidney disease and I've been throwing up nonstop and can't keep any water down for a few days now,RED
How many cups of fluid can I have daily?,GREEN
I had a kidney transplant last year and I feel dizzy when I stand up over the past week,YELLOW
I have stage 3 kidney disease and blood is coming through my urine this morning,RED
"As a kidney patient, I'm peeing much less than before over the past week",YELLOW
I have CKD and I haven't passed any urine this morning,RED
I'm on dialysis and I have heavy bleeding that won't stop for a few days now,RED
I noticed blood in my urine for a few days now,RED
"Hi, can I get my flu vaccination at the clinic?",GREEN
I have CKD and I feel dizzy when I stand up since yesterday,YELLOW
"Since my kidney stone, my ankles leave a dent when I press them for the last two days",YELLOW
"Barely peeing today, should I be worried?",YELLOW
Is there parking available at the clinic?,GREEN
I have stage 3 kidney disease and I've been short of breath over the past week,RED
How do I sign up for the patient portal?,GREEN
I'm on dialysis and my face looks puffy for the last two days,YELLOW
Is the pharmacy open after 6 pm?,GREEN
"Hi, can I travel by plane next month?",GREEN
I have CKD and I have pain near my kidneys over the past week,YELLOW
"Please, can you send me a copy of my prescription?",GREEN
I have CKD and I have a dull ache in my kidney area for a few days now,YELLOW
"Since my kidney stone, I've been short of breath for the last two days",RED
I've been short of breath for the last two days,RED
"As a kidney patient, I have a mild fever since last night",YELLOW
I feel severely confused since yesterday,RED
I had a kidney transplant last year and there's blood when I pee this morning,RED
"Since my kidney stone, there's a metallic taste in my mouth this morning",YELLOW
I'm on dialysis and I've had trouble concentrating and feel foggy for the last two days,YELLOW
"Hi, is it safe for me to exercise at the gym?",GREEN
I have CKD and I'm peeing much less than before since this afternoon,YELLOW
I've been short of breath over the past week,RED
I have CKD and my face looks puffy since last night,YELLOW
"Please, is the pharmacy open after 6 pm?",GREEN
"Please, how do I update my address in your records?",GREEN
I have stage 3 kidney disease and I have crushing pain spreading to my arm and jaw,RED
I have stage 3 kidney disease and I can't breathe properly over the past week,RED
My doctor said I have reduced kidney function and I've been short of breath since yesterday,RED
I have stage 3 kidney disease and blood is coming through my urine over the past week,RED
"Since my kidney stone, I feel nauseous and have lost my appetite since this afternoon",YELLOW
I'm on dialysis and my back is hurting near my kidneys over the past week,YELLOW
I'm on dialysis and I'm extremely drowsy and can barely stay awake for a few days now,RED
"Hello, how long does a routine checkup usually take?",GREEN
I have stage 3 kidney disease and I fainted for a few days now,RED
My doctor said I have reduced kidney function and my side hurts near where my kidney is for a few days now,YELLOW
"As a kidney patient, I noticed blood in my urine since yesterday",RED
"Since my kidney stone, my ankles leave a dent when I press them this morning",YELLOW
I had a kidney transplant last year and my back is hurting near my kidneys since this afternoon,YELLOW
I'm going to the bathroom less often for the last two days,YELLOW
I'm on dialysis and I feel nauseous and have lost my appetite since yesterday,YELLOW
I have CKD and I've been short of breath for a few days now,RED
I had a kidney transplant last year and I've been throwing up nonstop and can't keep any water down this morning,RED
"Good morning, should I bring my previous reports to the appointment?",GREEN
I had a kidney transplant last year and my eyes are puffy in the mornings since yesterday,YELLOW
I'm on dialysis and my blood pressure has been higher than usual this morning,YELLOW
I had a kidney transplant last year and I have no urine output for the last two days,RED
I had a kidney transplant last year and my side hurts near where my kidney is since yesterday,YELLOW
I have CKD and there's a metallic taste in my mouth this morning,YELLOW
I'm on dialysis and I've had trouble concentrating and feel foggy for a few days now,YELLOW
